spp;year;segment
Didelphis aurita;2012;18
Boa constrictor;2012;20
Coendou insidiosus;2012;19
Didelphis aurita;2012;24.5
Didelphis aurita;2012;27
Didelphis aurita;2012;27
Cerdocyon thous;2012;48
Boa constrictor;2012;33
Didelphis aurita;2012;20.5
Coendou insidiosus;2012;18.5
Cerdocyon thous;2012;19.5
Coendou insidiosus;2012;19
Coendou insidiosus;2012;59.5
Boa constrictor;2012;29
Cerdocyon thous;2012;40
Boa constrictor;2012;36
Boa constrictor;2012;54
Coendou insidiosus;2012;38
Boa constrictor;2012;38.5
Boa constrictor;2012;26.5
Boa constrictor;2012;13.5
Boa constrictor;2012;13
Boa constrictor;2012;46
Didelphis aurita;2012;21
Boa constrictor;2012;24
Didelphis aurita;2012;26
Didelphis aurita;2012;42
Didelphis aurita;2012;28
Cerdocyon thous;2012;40
Boa constrictor;2012;43
Didelphis aurita;2012;24
Boa constrictor;2012;39
Didelphis aurita;2012;24
Boa constrictor;2012;40
Hydrochoerus hydrochaeris;2012;67
Didelphis aurita;2012;26.5
Didelphis aurita;2012;18
Didelphis aurita;2012;27
Cerdocyon thous;2012;38
Didelphis aurita;2012;41
Didelphis aurita;2012;40.5
Boa constrictor;2012;39
Epicrates cenchria ;2012;45.5
Boa constrictor;2012;62
Dasypus novemcinctus;2012;24.5
Didelphis aurita;2012;18.5
Euphractus sexcinctus;2012;37.5
Chaetomys subspinosus;2012;44
Dasypus septemcinctus;2012;50
Dasypus novemcinctus;2012;50
Didelphis aurita;2012;24.5
Boa constrictor;2012;38
Boa constrictor;2012;35
Coendou insidiosus;2012;42
Boa constrictor;2012;40
Cerdocyon thous;2012;34
Boa constrictor;2012;57
Coendou insidiosus;2012;31
Dasypus novemcinctus;2012;35.5
Procyon cancrivorus;2012;38.5
Didelphis aurita;2012;44
Sylvilagus brasiliensis;2012;40
Cerdocyon thous;2012;48
Didelphis aurita;2012;24
Coendou insidiosus;2012;55
Coendou insidiosus;2012;59.5
Didelphis aurita;2012;22
Didelphis aurita;2012;58
Boa constrictor;2012;16
Didelphis aurita;2012;43
Coendou insidiosus;2012;51
Didelphis aurita;2012;49.5
Boa constrictor;2013;38
Cerdocyon thous;2013;40
Boa constrictor;2013;50
Dasypus novemcinctus;2013;55
Dasypus novemcinctus;2013;24
Didelphis aurita;2013;40
Didelphis aurita;2013;42.5
Euphractus sexcinctus;2013;40
Dasypus novemcinctus;2013;31.5
Didelphis aurita;2013;47
Coendou insidiosus;2013;59
Chaetomys subspinosus;2013;27
Boa constrictor;2013;29
Boa constrictor;2013;21
Didelphis aurita;2013;28
Procyon cancrivorus;2013;12
Coendou insidiosus;2013;45.5
Didelphis aurita;2013;40
Boa constrictor;2013;59
Boa constrictor;2013;18
Didelphis aurita;2013;42
Procyon cancrivorus;2013;13.5
Didelphis aurita;2013;27
Didelphis aurita;2013;29
Corallus hortulanus;2013;45.5
Didelphis aurita;2013;23.5
Boa constrictor;2013;18.5
Didelphis aurita;2013;44
Didelphis aurita;2013;54.5
Coendou insidiosus;2013;59.5
Didelphis aurita;2013;53
Didelphis aurita;2013;42
Didelphis aurita;2013;36
Boa constrictor;2013;41.5
Boa constrictor;2013;40
Didelphis aurita;2013;26.5
Didelphis aurita;2013;16
Boa constrictor;2013;57.5
Hydrochoerus hydrochaeris;2013;20.5
Hydrochoerus hydrochaeris;2013;40.5
Coendou insidiosus;2013;38
Didelphis aurita;2013;24
Boa constrictor;2013;39
Boa constrictor;2013;31
Cerdocyon thous;2013;28
Boa constrictor;2013;33
Cerdocyon thous;2013;38
Cerdocyon thous;2013;37
Didelphis aurita;2013;50
Coendou insidiosus;2013;28
Cerdocyon thous;2013;22
Didelphis aurita;2013;19
Didelphis aurita;2013;50
Didelphis aurita;2013;26
Didelphis aurita;2013;65.5
Didelphis aurita;2013;52
Boa constrictor;2013;50
Didelphis aurita;2013;38
Dasypus novemcinctus;2013;24
Boa constrictor;2013;36.5
Didelphis aurita;2013;27
Hydrochoerus hydrochaeris;2013;48
Didelphis aurita;2013;44
Didelphis aurita;2013;66
Boa constrictor;2013;35
Epicrates cenchria ;2013;45.5
Boa constrictor;2013;35.5
Boa constrictor;2013;16.5
Didelphis aurita;2013;28
Boa constrictor;2013;39.5
Didelphis aurita;2013;29
Tamandua tetradactyla;2013;61
Didelphis aurita;2013;40.5
Tamandua tetradactyla;2013;29
Didelphis aurita;2013;24
Didelphis aurita;2013;18.5
Tamandua tetradactyla;2013;40
Dasypus novemcinctus;2013;58
Didelphis aurita;2013;52
Epicrates cenchria ;2013;46
Didelphis aurita;2013;24
Boa constrictor;2013;19
Didelphis aurita;2013;26
Didelphis aurita;2013;41.5
Didelphis aurita;2013;57
Didelphis aurita;2013;34
Didelphis aurita;2013;44
Didelphis aurita;2013;20
Boa constrictor;2013;32
Didelphis aurita;2013;23
Didelphis aurita;2013;40
Cerdocyon thous;2013;19.5
Dasypus novemcinctus;2013;31
Didelphis aurita;2013;32
Didelphis aurita;2013;55
Didelphis aurita;2013;52
Didelphis aurita;2013;42
Didelphis aurita;2013;42
Didelphis aurita;2013;42
Didelphis aurita;2013;28
Didelphis aurita;2013;64.5
Didelphis aurita;2013;41
Didelphis aurita;2013;42
Coendou insidiosus;2013;19
Didelphis aurita;2013;22
Didelphis aurita;2013;45
Didelphis aurita;2013;18
Hydrochoerus hydrochaeris;2013;38
Didelphis aurita;2013;50
Didelphis aurita;2013;39.5
Didelphis aurita;2013;35
Didelphis aurita;2013;26
Didelphis aurita;2013;39
Didelphis aurita;2013;20
Didelphis aurita;2013;27.5
Nasua nasua;2013;38
Didelphis aurita;2013;54.5
Didelphis aurita;2013;40
Didelphis aurita;2013;40.5
Cariama cristata;2013;37
Didelphis aurita;2013;37.5
Didelphis aurita;2013;26
Didelphis aurita;2013;13
Procyon cancrivorus;2013;33.5
Procyon cancrivorus;2013;46
Coendou insidiosus;2013;15
Euphractus sexcinctus;2013;45.5
Didelphis aurita;2013;12.5
Didelphis aurita;2013;41
Didelphis aurita;2013;42
Boa constrictor;2013;46.5
Didelphis aurita;2013;38
Didelphis aurita;2013;19
Cerdocyon thous;2013;44.5
Euphractus sexcinctus;2013;34
Coendou insidiosus;2013;39
Didelphis aurita;2013;12
Salvator merianae;2013;61
Boa constrictor;2013;59
Boa constrictor;2013;30.5
Coendou insidiosus;2013;25
Didelphis aurita;2013;20
Cariama cristata;2013;17
Didelphis aurita;2013;13
Didelphis aurita;2013;23.5
Didelphis aurita;2013;19
Dasypus novemcinctus;2013;12
Cerdocyon thous;2013;53
Didelphis aurita;2013;27
Didelphis aurita;2013;48
Didelphis aurita;2013;58
Didelphis aurita;2013;49
Didelphis aurita;2013;60
Dasypus novemcinctus;2013;34
Didelphis aurita;2013;45.5
Boa constrictor;2013;23.5
Didelphis aurita;2013;41.5
Didelphis aurita;2013;43
Didelphis aurita;2013;57.5
Coendou insidiosus;2013;61
Tamandua tetradactyla;2013;31.5
Didelphis aurita;2013;66.5
Didelphis aurita;2013;23
Didelphis aurita;2013;15.5
Coendou insidiosus;2013;12
Coendou insidiosus;2013;29
Didelphis aurita;2013;28
Coendou insidiosus;2013;12.5
Coendou insidiosus;2013;66
Didelphis aurita;2013;42.5
Didelphis aurita;2013;45.5
Didelphis aurita;2013;40
Didelphis aurita;2013;62
Didelphis aurita;2013;59
Didelphis aurita;2013;60
Cerdocyon thous;2013;34.5
Salvator merianae;2013;49
Cerdocyon thous;2013;11.5
Tamandua tetradactyla;2013;13
Didelphis aurita;2013;59
Didelphis aurita;2013;31.5
Didelphis aurita;2013;19.5
Didelphis aurita;2013;42
Didelphis aurita;2013;43
Boa constrictor;2013;38
Coendou insidiosus;2013;59.5
Procyon cancrivorus;2013;58.5
Didelphis aurita;2013;43.5
Didelphis aurita;2013;19
Boa constrictor;2013;38
Boa constrictor;2013;13.5
Didelphis aurita;2013;47
Boa constrictor;2013;65
Didelphis aurita;2013;27
Didelphis aurita;2013;25
Chaetomys subspinosus;2013;38
Boa constrictor;2013;59
Didelphis aurita;2013;42
Boa constrictor;2013;10
Chaetomys subspinosus;2013;43
Corallus hortulanus;2013;56
Boa constrictor;2013;49
Boa constrictor;2013;12
Chaetomys subspinosus;2013;37
Didelphis aurita;2013;27
Didelphis aurita;2014;33
Coendou insidiosus;2014;50
Euphractus sexcinctus;2014;55
Didelphis aurita;2014;43
Didelphis aurita;2014;40
Didelphis aurita;2014;23
Corallus hortulanus;2014;31
Didelphis aurita;2014;40
Didelphis aurita;2014;27
Tamandua tetradactyla;2014;12.5
Coendou insidiosus;2014;44.5
Didelphis aurita;2014;36
Dasypus novemcinctus;2014;51
Didelphis aurita;2014;65
Didelphis aurita;2014;44
Didelphis aurita;2014;36
Didelphis aurita;2014;27
Dasypus novemcinctus;2014;13
Didelphis aurita;2014;12
Didelphis aurita;2014;18
Didelphis aurita;2014;62
Didelphis aurita;2014;28
Sylvilagus brasiliensis;2014;61
Boa constrictor;2014;34
Cerdocyon thous;2014;22.5
Didelphis aurita;2014;28
Coendou insidiosus;2014;61
Cerdocyon thous;2014;24.5
Didelphis aurita;2014;59
Didelphis aurita;2014;40
Didelphis aurita;2014;18.5
Coendou insidiosus;2014;66
Cerdocyon thous;2014;11
Tamandua tetradactyla;2014;62.5
Didelphis aurita;2014;26
Boa constrictor;2014;29
Didelphis aurita;2014;41
Procyon cancrivorus;2014;55
Didelphis aurita;2014;52
Didelphis aurita;2014;40
Chaetomys subspinosus;2014;29
Boa constrictor;2014;39
Procyon cancrivorus;2014;36
Didelphis aurita;2014;48
Hydrochoerus hydrochaeris;2014;29
Hydrochoerus hydrochaeris;2014;29
Sylvilagus brasiliensis;2014;38
Didelphis aurita;2014;45
Didelphis aurita;2014;47
Dasypus novemcinctus;2014;37.5
Didelphis aurita;2014;28
Didelphis aurita;2014;33
Didelphis aurita;2014;28
Boa constrictor;2014;39
Salvator merianae;2014;40.5
Tamandua tetradactyla;2014;30
Cerdocyon thous;2014;65
Didelphis aurita;2014;28
Didelphis aurita;2014;67
Hydrochoerus hydrochaeris;2014;23.5
Boa constrictor;2014;38.5
Didelphis aurita;2014;43.5
Didelphis aurita;2014;44
Didelphis aurita;2014;45
Boa constrictor;2014;9
Cerdocyon thous;2014;38
Boa constrictor;2014;12
Boa constrictor;2014;38
Boa constrictor;2014;38
Cerdocyon thous;2014;18
Cerdocyon thous;2014;59
Boa constrictor;2014;56
Didelphis aurita;2014;48
Didelphis aurita;2014;39
Cerdocyon thous;2014;62
Eira barbara;2014;60
Cariama cristata;2014;54
Didelphis aurita;2014;50
Tamandua tetradactyla;2014;33
Didelphis aurita;2014;41.5
Didelphis aurita;2014;45
Epicrates cenchria ;2014;59.5
Didelphis aurita;2014;52
Procyon cancrivorus;2014;51.5
Didelphis aurita;2014;19
Didelphis aurita;2014;17
Cerdocyon thous;2014;44.5
Hydrochoerus hydrochaeris;2014;43
Didelphis aurita;2014;46
Didelphis aurita;2014;67
Cerdocyon thous;2014;27
Didelphis aurita;2014;41
Didelphis aurita;2014;60
Didelphis aurita;2014;44
Didelphis aurita;2014;46.5
Cerdocyon thous;2014;18
Didelphis aurita;2014;40.5
Didelphis aurita;2014;18
Cerdocyon thous;2014;18
Didelphis aurita;2014;42
Tamandua tetradactyla;2014;18
Procyon cancrivorus;2014;56.5
Cerdocyon thous;2014;23
Corallus hortulanus;2014;45
Coendou insidiosus;2014;27
Didelphis aurita;2014;37.5
Cerdocyon thous;2014;10
Dasypus novemcinctus;2014;51.5
Coendou insidiosus;2014;45.5
Epicrates cenchria ;2014;50
Sylvilagus brasiliensis;2014;30
Procyon cancrivorus;2014;38
Cerdocyon thous;2014;42
Dasypus septemcinctus;2014;56
Epicrates cenchria ;2014;60.5
Didelphis aurita;2014;41
Didelphis aurita;2014;50
Coendou insidiosus;2014;48
Didelphis aurita;2014;17.5
Coendou insidiosus;2014;26
Didelphis aurita;2014;27
Boa constrictor;2014;38
Coendou insidiosus;2014;59.5
Hydrochoerus hydrochaeris;2014;49
Didelphis aurita;2014;66
Didelphis aurita;2014;24
Didelphis aurita;2014;18.5
Didelphis aurita;2014;27
Didelphis aurita;2014;33.5
Didelphis aurita;2014;61
Didelphis aurita;2014;12.5
Didelphis aurita;2014;15
Didelphis aurita;2014;42.5
Boa constrictor;2014;36
Cerdocyon thous;2014;21
Didelphis aurita;2014;25
Coendou insidiosus;2014;46.5
Didelphis aurita;2014;48.5
Didelphis aurita;2014;27
Boa constrictor;2014;66
Didelphis aurita;2014;42.5
Didelphis aurita;2014;42
Didelphis aurita;2014;27
Cerdocyon thous;2014;36
Cerdocyon thous;2014;33.5
Cerdocyon thous;2014;29
Didelphis aurita;2014;28
Coendou insidiosus;2014;42
Didelphis aurita;2014;66
Coendou insidiosus;2014;55
Boa constrictor;2014;37
Didelphis aurita;2014;42
Coendou insidiosus;2014;48.5
Didelphis aurita;2014;17.5
Coendou insidiosus;2014;44.5
Hydrochoerus hydrochaeris;2014;54
Hydrochoerus hydrochaeris;2014;54
Dasypus septemcinctus;2014;43
Cariama cristata;2014;28
Boa constrictor;2014;55.5
Boa constrictor;2014;29
Didelphis aurita;2014;58.5
Didelphis aurita;2014;46
Didelphis aurita;2014;46.5
Coendou insidiosus;2014;43.5
Didelphis aurita;2014;41
Coendou insidiosus;2014;48
Boa constrictor;2014;53
Coendou insidiosus;2014;14
Boa constrictor;2014;63
Sylvilagus brasiliensis;2014;35
Cerdocyon thous;2014;52
Didelphis aurita;2014;28
Euphractus sexcinctus;2014;36
Procyon cancrivorus;2014;38
Didelphis aurita;2014;24
Boa constrictor;2014;12
Boa constrictor;2014;33
Coendou insidiosus;2014;44.5
Didelphis aurita;2014;55.5
Didelphis aurita;2014;41.5
Boa constrictor;2014;37
Hydrochoerus hydrochaeris;2014;54
Didelphis aurita;2014;42
Didelphis aurita;2014;48.5
Epicrates cenchria ;2014;61
Sylvilagus brasiliensis;2014;60
Didelphis aurita;2014;41
Boa constrictor;2014;11
Didelphis aurita;2014;30.5
Didelphis aurita;2014;26
Coendou insidiosus;2014;38
Boa constrictor;2014;35
Coendou insidiosus;2014;37
Procyon cancrivorus;2014;57
Sylvilagus brasiliensis;2014;52.5
Dasypus novemcinctus;2014;39
Didelphis aurita;2014;28
Didelphis aurita;2014;21
Coendou insidiosus;2015;54
Dasypus novemcinctus;2015;28
Didelphis aurita;2015;26.5
Didelphis aurita;2015;19.5
Hydrochoerus hydrochaeris;2015;52.5
Didelphis aurita;2015;28.5
Boa constrictor;2015;67
Coendou insidiosus;2015;60
Didelphis aurita;2015;51
Dasypus septemcinctus;2015;47
Didelphis aurita;2015;40
Didelphis aurita;2015;18
Didelphis aurita;2015;28.5
Coendou insidiosus;2015;50
Chaetomys subspinosus;2015;54.5
Salvator merianae;2015;13
Didelphis aurita;2015;22
Boa constrictor;2015;35
Boa constrictor;2015;24
Coendou insidiosus;2015;45
Didelphis aurita;2015;54
Didelphis aurita;2015;50
Boa constrictor;2015;19
Didelphis aurita;2015;41
Hydrochoerus hydrochaeris;2015;55
Hydrochoerus hydrochaeris;2015;52
Cerdocyon thous;2015;46
Didelphis aurita;2015;24
Cerdocyon thous;2015;20.5
Tamandua tetradactyla;2015;13.5
Cerdocyon thous;2015;63
Coendou insidiosus;2015;37.5
Didelphis aurita;2015;42
Coendou insidiosus;2015;37.5
Cerdocyon thous;2015;19
Cariama cristata;2015;63
Didelphis aurita;2015;19
Didelphis aurita;2015;27
Cerdocyon thous;2015;38
Cerdocyon thous;2015;38
Coendou insidiosus;2015;59
Hydrochoerus hydrochaeris;2015;28.5
Hydrochoerus hydrochaeris;2015;28.5
Dasypus novemcinctus;2015;28
Hydrochoerus hydrochaeris;2015;27.5
Didelphis aurita;2015;45
Didelphis aurita;2015;55
Boa constrictor;2015;54.5
Cerdocyon thous;2015;21.5
Didelphis aurita;2015;26
Boa constrictor;2015;43
Boa constrictor;2015;44.5
Boa constrictor;2015;44.5
Epicrates cenchria ;2015;60
Tamandua tetradactyla;2015;13
Tamandua tetradactyla;2015;29
Hydrochoerus hydrochaeris;2015;59.5
Hydrochoerus hydrochaeris;2015;40.5
Didelphis aurita;2015;38
Epicrates cenchria ;2015;60
Hydrochoerus hydrochaeris;2015;18
Didelphis aurita;2015;27.5
Didelphis aurita;2015;29
Didelphis aurita;2015;33
Didelphis aurita;2015;38
Hydrochoerus hydrochaeris;2015;27
Boa constrictor;2015;59
Cerdocyon thous;2015;11
Lontra longicaudis;2015;18
Boa constrictor;2015;38
Boa constrictor;2015;48
Didelphis aurita;2015;35
Didelphis aurita;2015;46
Cariama cristata;2015;63.5
Didelphis aurita;2015;27
Salvator merianae;2015;51
Epicrates cenchria ;2015;45
Boa constrictor;2015;45
Coendou insidiosus;2015;60
Coendou insidiosus;2015;63
Didelphis aurita;2015;40
Didelphis aurita;2015;27
Sylvilagus brasiliensis;2015;37
Didelphis aurita;2015;16
Cerdocyon thous;2015;22.5
Coendou insidiosus;2015;28
Didelphis aurita;2015;42
Leopardus guttulus;2015;35
Cariama cristata;2015;60
Coendou insidiosus;2015;45
Didelphis aurita;2015;28
Didelphis aurita;2015;27
Didelphis aurita;2015;13
Didelphis aurita;2015;23
Didelphis aurita;2015;39
Procyon cancrivorus;2015;20
Didelphis aurita;2015;26
Coendou insidiosus;2015;42
Didelphis aurita;2015;47
Cerdocyon thous;2015;21
Didelphis aurita;2015;42
Didelphis aurita;2015;36
Boa constrictor;2015;41
Coendou insidiosus;2015;26
Coendou insidiosus;2015;26
Boa constrictor;2015;19
Procyon cancrivorus;2016;12
Didelphis aurita;2016;19.5
Hydrochoerus hydrochaeris;2016;22
Coendou insidiosus;2016;18.5
Tamandua tetradactyla;2016;60
Coendou insidiosus;2016;34
Didelphis aurita;2016;20
Cerdocyon thous;2016;18.5
Tamandua tetradactyla;2016;18
Didelphis aurita;2016;28
Cerdocyon thous;2016;20
Didelphis aurita;2016;24
Tamandua tetradactyla;2016;54
Didelphis aurita;2016;26.5
Didelphis aurita;2016;26.5
Boa constrictor;2016;17
Cerdocyon thous;2016;33.5
Coendou insidiosus;2016;31
Coendou insidiosus;2016;54
Epicrates cenchria ;2016;58
Coendou insidiosus;2016;56
Boa constrictor;2016;16
Epicrates cenchria ;2016;59.5
Coendou insidiosus;2016;51
Hydrochoerus hydrochaeris;2016;39.5
Didelphis aurita;2016;26
Sylvilagus brasiliensis;2016;58.5
Cerdocyon thous;2016;36
Boa constrictor;2016;19
Hydrochoerus hydrochaeris;2016;29.5
Hydrochoerus hydrochaeris;2016;28
Hydrochoerus hydrochaeris;2016;27
Hydrochoerus hydrochaeris;2016;34
Hydrochoerus hydrochaeris;2016;30
Cerdocyon thous;2016;27.5
Didelphis aurita;2016;26.5
Didelphis aurita;2016;24.5
Cerdocyon thous;2016;30
Boa constrictor;2016;51.5
Cerdocyon thous;2016;24.5
Coendou insidiosus;2016;23
Cerdocyon thous;2016;29
Cerdocyon thous;2016;29
Hydrochoerus hydrochaeris;2016;17.5
Hydrochoerus hydrochaeris;2016;17
Cerdocyon thous;2016;32
Epicrates cenchria ;2016;59
Coendou insidiosus;2016;59.5
Cerdocyon thous;2016;19.5
Coendou insidiosus;2016;26.5
Cerdocyon thous;2016;28
Boa constrictor;2016;18.5
Didelphis aurita;2016;29
Cariama cristata;2016;43.5
Cerdocyon thous;2016;44.5
Didelphis aurita;2016;18.5
Salvator merianae;2016;50
Dasypus septemcinctus;2016;44
Didelphis aurita;2016;19
Coendou insidiosus;2016;55
Dasypus novemcinctus;2016;10.5
Cerdocyon thous;2016;50
Coendou insidiosus;2016;24
Didelphis aurita;2016;27
Cerdocyon thous;2016;26
Boa constrictor;2016;37
Cerdocyon thous;2016;36
Salvator merianae;2016;58
Cerdocyon thous;2016;37
Coendou insidiosus;2016;43
Didelphis aurita;2016;28
Boa constrictor;2016;55
Cerdocyon thous;2016;63
Cerdocyon thous;2016;63
Cerdocyon thous;2016;63
Cariama cristata;2016;37.5
Salvator merianae;2016;45.5
Didelphis aurita;2016;25.5
Cerdocyon thous;2016;60
Hydrochoerus hydrochaeris;2016;29
Didelphis aurita;2016;32
Coendou insidiosus;2016;40
Didelphis aurita;2017;25
Didelphis aurita;2017;26.5
Didelphis aurita;2017;19
Didelphis aurita;2017;26.5
Cariama cristata;2017;52
Didelphis aurita;2017;23
Boa constrictor;2017;19
Boa constrictor;2017;38
Didelphis aurita;2017;28.5
Tamandua tetradactyla;2017;55.5
Epicrates cenchria ;2017;45
Epicrates cenchria ;2017;61.5
Cariama cristata;2017;29
Didelphis aurita;2017;27.5
Boa constrictor;2017;45
Didelphis aurita;2017;26
Cerdocyon thous;2017;64.5
Didelphis aurita;2017;25
Didelphis aurita;2017;19
Didelphis aurita;2017;23
Boa constrictor;2017;23
Hydrochoerus hydrochaeris;2017;37
Cerdocyon thous;2017;48.5
Cerdocyon thous;2017;50.5
Cerdocyon thous;2017;12.5
Boa constrictor;2017;50
Hydrochoerus hydrochaeris;2017;38
Didelphis aurita;2017;53
Didelphis aurita;2017;48
Cerdocyon thous;2017;19
Didelphis aurita;2017;29
Didelphis aurita;2017;26.5
Didelphis aurita;2017;26.5
Didelphis aurita;2017;27
Didelphis aurita;2017;25
Didelphis aurita;2017;13
Didelphis aurita;2017;41.5
Didelphis aurita;2017;46
Didelphis aurita;2017;61.5
Cerdocyon thous;2017;28
Didelphis aurita;2017;18
Coendou insidiosus;2017;19.5
Procyon cancrivorus;2017;44.5
Cerdocyon thous;2017;47.5
Epicrates cenchria ;2017;45
Hydrochoerus hydrochaeris;2017;12.5
Cerdocyon thous;2017;42.5
Didelphis aurita;2017;26.5
Cerdocyon thous;2017;29
Sylvilagus brasiliensis;2017;31.5
Salvator merianae;2017;43
Cuniculus paca;2017;46
Epicrates cenchria ;2017;59.5
Coendou insidiosus;2017;21.5
Cariama cristata;2017;56.5
Didelphis aurita;2017;23
Didelphis aurita;2017;14.5
Didelphis aurita;2017;12
Coendou insidiosus;2017;66.5
Boa constrictor;2017;19
Boa constrictor;2017;37
Hydrochoerus hydrochaeris;2017;28
Coendou insidiosus;2017;20
Procyon cancrivorus;2017;39
Boa constrictor;2017;51.5
Hydrochoerus hydrochaeris;2017;40
Sylvilagus brasiliensis;2017;26
Boa constrictor;2017;51
Dasypus septemcinctus;2017;59.5
Didelphis aurita;2017;26
Cariama cristata;2017;17
Boa constrictor;2017;39.5
Cerdocyon thous;2017;18
Coendou insidiosus;2017;26
Didelphis aurita;2017;16.5
Tamandua tetradactyla;2017;27
Didelphis aurita;2017;28.5
Dasypus septemcinctus;2017;10.5
Coendou insidiosus;2017;48.5