species;roadkill_km45;roadkill_km50;roadkill_km59;roadkill_entireRoad;crossings_km45;crossings_km50;crossings_km59
Didelphis aurita;34;13;10;540;776;37;367
Boidae;26;10;11;285;9;3;2
Cerdocyon thous;16;5;5;226;279;127;51
Coendou insidiosus;14;3;11;137;198;4;69
Tamandua tetradactyla;3;0;1;54;71;1;378
Procyon cancrivorus;6;0;0;49;1785;45;387
Dasypodidae;2;2;2;48;273;222;111
Hydrochoerus hydrochaeris;1;1;1;44;86;11;28
Sylvilagus brasiliensis;0;0;0;26;64;1;10
Salvator merianae;1;1;0;22;918;133;105
Eira barbara;0;1;1;7;791;10;341
Cuniculus paca;3;0;0;5;496;3;138
Lontra longicaudis;0;0;0;4;130;28;358